dataset_id,L,Vf,rate,seed,source,result_dir
110,26,4.1,0.25,4226003,new_r025,raw/rigorous_compatible/task_0038_L26_V4.1_R0.25_s4226003
111,26,4.1,0.25,4226004,new_r025,raw/rigorous_compatible/task_0039_L26_V4.1_R0.25_s4226004
112,26,4.1,0.25,4226005,new_r025,raw/rigorous_compatible/task_0040_L26_V4.1_R0.25_s4226005
113,26,4.1,0.25,4226006,new_r025,raw/rigorous_compatible/task_0041_L26_V4.1_R0.25_s4226006
114,26,4.1,0.25,4226007,new_r025,raw/rigorous_compatible/task_0042_L26_V4.1_R0.25_s4226007
115,26,4.1,0.25,4226008,new_r025,raw/rigorous_compatible/task_0043_L26_V4.1_R0.25_s4226008
116,26,4.1,0.25,4226009,new_r025,raw/rigorous_compatible/task_0044_L26_V4.1_R0.25_s4226009
117,26,4.1,0.25,4226010,new_r025,raw/rigorous_compatible/task_0045_L26_V4.1_R0.25_s4226010
118,26,4.1,0.25,4226011,new_r025,raw/rigorous_compatible/task_0046_L26_V4.1_R0.25_s4226011
119,26,4.1,0.25,4226012,new_r025,raw/rigorous_compatible/task_0047_L26_V4.1_R0.25_s4226012
120,26,4.1,0.50,4226001,reused_original_rigorous,raw/rigorous/task_0252_L26_V4.10_R0.5_s4226001
121,26,4.1,0.50,4226002,reused_original_rigorous,raw/rigorous/task_0253_L26_V4.10_R0.5_s4226002
122,26,4.1,0.50,4226003,reused_original_rigorous,raw/rigorous/task_0254_L26_V4.10_R0.5_s4226003
123,26,4.1,0.50,4226004,reused_original_rigorous,raw/rigorous/task_0255_L26_V4.10_R0.5_s4226004
124,26,4.1,0.50,4226005,reused_original_rigorous,raw/rigorous/task_0256_L26_V4.10_R0.5_s4226005
125,26,4.1,0.50,4226006,reused_original_rigorous,raw/rigorous/task_0257_L26_V4.10_R0.5_s4226006
126,26,4.1,0.50,4226007,reused_original_rigorous,raw/rigorous/task_0258_L26_V4.10_R0.5_s4226007
127,26,4.1,0.50,4226008,reused_original_rigorous,raw/rigorous/task_0259_L26_V4.10_R0.5_s4226008
128,26,4.1,0.50,4226009,reused_original_rigorous,raw/rigorous/task_0260_L26_V4.10_R0.5_s4226009
129,26,4.1,0.50,4226010,reused_original_rigorous,raw/rigorous/task_0261_L26_V4.10_R0.5_s4226010
130,26,4.1,0.50,4226011,reused_original_rigorous,raw/rigorous/task_0262_L26_V4.10_R0.5_s4226011
131,26,4.1,0.50,4226012,reused_original_rigorous,raw/rigorous/task_0263_L26_V4.10_R0.5_s4226012
132,26,4.1,1.00,4226001,reused_original_rigorous,raw/rigorous/task_0264_L26_V4.10_R1.0_s4226001
133,26,4.1,1.00,4226002,reused_original_rigorous,raw/rigorous/task_0265_L26_V4.10_R1.0_s4226002
134,26,4.1,1.00,4226003,reused_original_rigorous,raw/rigorous/task_0266_L26_V4.10_R1.0_s4226003
135,26,4.1,1.00,4226004,reused_original_rigorous,raw/rigorous/task_0267_L26_V4.10_R1.0_s4226004
136,26,4.1,1.00,4226005,reused_original_rigorous,raw/rigorous/task_0268_L26_V4.10_R1.0_s4226005
137,26,4.1,1.00,4226006,reused_original_rigorous,raw/rigorous/task_0269_L26_V4.10_R1.0_s4226006
138,26,4.1,1.00,4226007,reused_original_rigorous,raw/rigorous/task_0270_L26_V4.10_R1.0_s4226007
139,26,4.1,1.00,4226008,reused_original_rigorous,raw/rigorous/task_0271_L26_V4.10_R1.0_s4226008
