proposal,branch,index,block_boundary,stale_injected,uniform,new_ratio_real,new_ratio_imag,phase3e_ratio_real,phase3e_ratio_imag,legacy_ratio_real,legacy_ratio_imag,ratio_error_phase3e,ratio_error_legacy,z2_new,z2_phase3e,z2_legacy,status_match,precision_match,decision_new,decision_phase3e,decision_legacy,pre_residual_new,pre_residual_legacy,post_residual_new,post_residual_legacy,restore_count,saved_factors,legacy_fallbacks,status
18,ket,32,1,0,0.60869713476593612,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,64,0,PASS
19,bra,67,0,0,0.75212123200963565,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,176,0,PASS
20,ket,12,0,0,0.72155882096010293,0.99600798934399148,1e-172,0.99600798934399148,1e-172,0.99600798934399148,7.0710678118654751e-173,0,2.9406713796177787e-173,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
21,bra,103,0,0,0.28483744640226522,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,64,0,PASS
22,ket,40,1,0,0.77289940385144251,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,128,0,PASS
23,ket,3,0,0,0.90289002104140681,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,160,0,PASS
24,ket,40,1,0,0.075803429991513016,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,160,0,PASS
25,bra,83,0,0,0.61760259338956591,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
26,ket,48,1,0,0.93814821184601815,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,176,0,PASS
27,ket,12,0,0,0.40930264244137149,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
28,ket,4,0,0,0.2159048230240391,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,224,0,PASS
29,bra,127,0,0,0.82911193815834949,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,PASS
30,ket,56,1,0,0.27630170350530847,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,2,112,0,PASS
31,ket,58,0,0,0.90000000000000002,0.10040080106773419,2.9999999999999998e-172,0.10040080106773419,2.9999999999999998e-172,0.10040080106773419,6.2449979983983982e-172,0,3.2320439318100654e-171,1,1,1,1,1,0,0,0,0,0,0,0,4,240,0,PASS
32,ket,32,1,0,0.65767170882641002,0.99600798934399148,1e-172,0.99600798934399148,1e-172,0.99600798934399148,7.0710678118654751e-173,0,2.9406713796177787e-173,1,1,1,1,1,1,1,1,0,0,0,0,4,192,0,PASS
33,bra,107,0,0,0.19479022479772401,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,96,0,PASS
34,bra,64,1,0,0.56327995259061625,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,160,0,PASS
35,bra,76,0,0,0.98345117046098929,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,224,0,PASS
36,ket,60,0,0,0.64522661816734372,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,208,0,PASS
37,bra,87,0,0,0.8002970024265248,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,192,0,PASS
38,bra,72,1,0,0.049132100857714092,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0.99600798934399148,7.0710678118654751e-173,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,224,0,PASS
39,ket,14,0,0,0.38080812705480754,1.0040080106773419,0,1.0040080106773419,0,1.0040080106773419,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,4,112,0,PASS
