group,L,boundary,hs_scheme,configuration,pf_weight_real,pf_weight_imag,dense_weight_real,dense_weight_imag,weight_error,z2_match,green_error,determinant_identity_error
dense_L4_random,4,0,0,28,3.0260858518004112,-7.181493576927301e-17,3.0260858518004286,1.9084318864428182e-16,5.7240513275329663e-15,1,1.4924657500439454e-15,1.9398480936690488e-16
dense_L4_random,4,0,0,29,3.0260858518004112,-7.181493576927301e-17,3.0260858518004286,1.9084318864428182e-16,5.7240513275329663e-15,1,1.4924657500439454e-15,1.9398480936690488e-16
dense_L4_random,4,0,0,30,3.0260858518004112,6.7133713985213908e-18,3.0260858518004299,2.2632418276339004e-16,6.1640814443287554e-15,1,1.5848377595121703e-15,1.9398480936690488e-16
dense_L4_random,4,0,0,31,1.3947133496410715,-2.3444374629282818e-16,1.3947133496410813,2.9768099033208446e-16,7.0153792364952592e-15,1,3.1596664017319486e-15,3.4244557959463399e-16
dense_L4_random,4,0,0,32,2.0814407347893096,-9.367661952069978e-17,2.0814407347893233,2.5346049596711043e-16,6.6161583240430787e-15,1,1.6846604437162624e-15,1.138026438424989e-32
dense_L4_random,4,0,0,33,3.219335450639444,4.8235065446004647e-17,3.2193354506394645,1.4470467680959299e-16,6.3455119073308478e-15,1,1.4181637923953086e-15,5.1418452659552027e-16
dense_L4_random,4,0,0,34,2.0084947367837258,-1.0263066937521557e-17,2.0084947367837387,2.864910130811737e-17,6.4120884339331894e-15,1,2.0344608868845179e-15,2.2017034390255278e-16
dense_L4_random,4,0,0,35,2.0084947367837258,1.7385616386338113e-17,2.0084947367837391,2.9430925054479398e-17,6.6331673649500226e-15,1,6.0284603079633229e-15,1.5277386571265819e-32
dense_L4_random,4,0,0,36,1.1057458603910792,-6.8110474939779973e-17,1.1057458603910855,1.0974126469703354e-16,5.6249744809381974e-15,1,2.4590251216075263e-15,0
dense_L4_random,4,0,0,37,2.2261841093876971,3.6148498162164999e-17,2.2261841093877113,9.2942861513699773e-17,6.3835547767690073e-15,1,1.4864029154645185e-15,1.4922773703703547e-32
dense_L4_random,4,0,0,38,4.4819482183161865,1.3166241747684514e-16,4.4819482183162176,4.7373864561163914e-17,6.9359031936203004e-15,1,1.3034580911003961e-15,1.7685874496195963e-16
dense_L4_random,4,0,0,39,1.5030571324743851,-4.3823694868334194e-18,1.5030571324743951,6.4404160358020478e-17,6.6479468887186612e-15,1,2.0091696236903583e-15,1.9657090789716052e-16
dense_L4_random,4,0,0,40,1.3947133496410715,-2.3444374629282818e-16,1.3947133496410813,2.9768099033208446e-16,7.0153792364952592e-15,1,3.1596664017319486e-15,3.4244557959463399e-16
dense_L4_random,4,0,0,41,2.0084947367837258,-1.0263066937521557e-17,2.0084947367837387,2.864910130811737e-17,6.4120884339331894e-15,1,2.0344608868845179e-15,2.2017034390255278e-16
dense_L4_random,4,0,0,42,4.4819482183161865,1.3166241747684514e-16,4.4819482183162176,4.7373864561163914e-17,6.9359031936203004e-15,1,1.3034580911003961e-15,1.7685874496195963e-16
dense_L4_random,4,0,0,43,3.026085851800409,2.6463962260272119e-16,3.0260858518004286,-4.3970405573918314e-17,6.4579668601164273e-15,1,1.6622458813002835e-15,7.759392374676199e-16
dense_L4_random,4,0,0,44,1.394713349641072,2.5621241221202695e-16,1.3947133496410811,-2.4334583383528263e-16,6.5372033167181485e-15,1,2.6381355858360193e-15,0
dense_L4_random,4,0,0,45,3.0260858518004103,-1.3771928321086179e-16,3.0260858518004294,2.0098404149615914e-16,6.3114004418212154e-15,1,2.046042365570845e-15,3.8796961873380975e-16
dense_L4_random,4,0,0,46,4.4819482183161865,8.471636854623194e-17,4.4819482183162176,1.538799401862369e-16,6.9358948644580099e-15,1,1.2219088316046383e-15,1.7685874496195963e-16
dense_L4_random,4,0,0,47,2.9747898268218056,2.1465998367820281e-16,2.9747898268218256,9.658149947773339e-17,6.7179076323490495e-15,1,1.4110622072442096e-15,2.0073247398871728e-16
dense_L4_random,4,0,0,48,2.0084947367837254,6.3077465488225306e-17,2.0084947367837387,5.9269521501514901e-17,6.6331649248119164e-15,1,2.0557218308632689e-15,4.4034068780510566e-16
dense_L4_random,4,0,0,49,2.0084947367837254,6.3077465488225306e-17,2.0084947367837387,5.9269521501514901e-17,6.6331649248119164e-15,1,2.0557218308632689e-15,4.4034068780510566e-16
dense_L4_random,4,0,0,50,2.0814407347893087,2.2900318693156166e-16,2.0814407347893233,-9.5877468310064776e-17,7.0424991325354492e-15,1,2.1747757923017255e-15,2.0500861776114232e-16
dense_L4_random,4,0,0,51,1.4775783919535894,3.8968210501861343e-17,1.4775783919535979,3.7445085637238968e-17,5.7104889801942235e-15,1,2.0992003687739995e-15,4.0681705732714037e-16
dense_L4_random,4,0,0,52,2.0084947367837258,1.7385616386338113e-17,2.0084947367837391,2.9430925054479398e-17,6.6331673649500226e-15,1,6.0284603079633229e-15,1.5277386571265819e-32
dense_L4_random,4,0,0,53,3.219335450639444,4.8235065446004647e-17,3.2193354506394645,1.4470467680959299e-16,6.3455119073308478e-15,1,1.4181637923953086e-15,5.1418452659552027e-16
dense_L4_random,4,0,0,54,2.447702249485487,5.3859577053692435e-18,2.4477022494855021,8.3191094903840126e-17,6.1687378851802828e-15,1,1.7070256036194369e-15,4.4473806028476534e-16
dense_L4_random,4,0,0,55,2.0084947367837263,4.1961394162550998e-17,2.0084947367837387,5.8487697755152534e-17,6.1909591448599804e-15,1,1.788650883821121e-15,0
dense_L4_random,4,0,0,56,2.0084947367837258,1.7385616386338113e-17,2.0084947367837391,2.9430925054479398e-17,6.6331673649500226e-15,1,6.0284603079633229e-15,1.5277386571265819e-32
dense_L4_random,4,0,0,57,2.0084947367837254,6.3077465488225306e-17,2.0084947367837387,5.9269521501514901e-17,6.6331649248119164e-15,1,2.0557218308632689e-15,4.4034068780510566e-16
