beta_trial,seed,S_pi,S_pi_err,S_pi_dq,S_pi_dq_err,R_cdw,R_cdw_err,average_sign,acceptance,runtime_seconds,max_sign_imag,max_observable_imag,sign_corrections,raw_path,trial_slices,min_update_denominator,guard_trigger_fraction
10,990209,0.045185326449615947,0.00038616711609949973,0.03552597313108891,9.018855125228991e-05,0.21377190511830713,0.006779301916222109,0.8748,0.74578125,210.136850132,5.506302046470934e-10,4.0892895335394203e-14,0,task_056_L10_V2_th10_bt10_dt0.1_s990209,100,inf,0
10,990210,0.044642016006143606,0.0005522435631082166,0.03518212642114498,0.0001266084761579951,0.21190551931384016,0.009480589940869593,0.878,0.7458198,209.7057476,1.4377212915777019e-09,1.944742609135003e-14,0,task_057_L10_V2_th10_bt10_dt0.1_s990210,100,inf,0
10,990211,0.04522664937154582,0.00034416914632408985,0.035089516537214524,0.00018512297989990668,0.22414069968024286,0.005665188522222915,0.8648,0.7457769,209.459829594,3.616921842805099e-10,9.429916604966472e-15,0,task_058_L10_V2_th10_bt10_dt0.1_s990211,100,inf,0
10,990212,0.04544496583872533,0.00040689240230955503,0.03543105622791262,0.00013577047231536784,0.220352451058055,0.0052712835749739485,0.8792,0.7458616,311.60787926,1.3376857809049486e-10,5.6398371810161636e-15,0,task_059_L10_V2_th10_bt10_dt0.1_s990212,100,inf,0
12,990201,0.04682821976533874,0.002275035071854882,0.03431680157615429,0.0008955891189676409,0.26717689145307066,0.03100568751645334,0.876,0.7457109,212.212089945,6.423647842385312e-10,4.057975997265305e-14,0,task_060_L10_V2_th10_bt12_dt0.1_s990201,120,inf,0
12,990202,0.0446745578288939,0.0007998766153871994,0.03552397473779789,0.00024165131906943963,0.20482761410069827,0.024549959898312674,0.8808,0.74581645,218.318577387,6.710263188409584e-10,2.64445560494307e-12,0,task_061_L10_V2_th10_bt12_dt0.1_s990202,120,inf,0
12,990203,0.04645662834585721,0.0006439740940803068,0.03534842627588808,0.00015580617120024027,0.23910908874556136,0.009887550495724007,0.8712,0.7457711,311.98983954,6.15882857157032e-10,5.213013820810687e-15,0,task_062_L10_V2_th10_bt12_dt0.1_s990203,120,inf,0
12,990204,0.04575148530825952,0.0003106157119077099,0.03534566638175385,7.959177522154335e-05,0.22744220993907505,0.004816469085352511,0.8892,0.7456942,225.986033448,1.1368063422376941e-09,5.6491299880294566e-15,0,task_063_L10_V2_th10_bt12_dt0.1_s990204,120,inf,0
12,990205,0.045342197699746296,0.0006182460786415697,0.03556846114556334,0.0003358790275290159,0.2155549807908328,0.018023411407257918,0.8792,0.74567175,224.741853105,2.240705318011962e-10,1.1352995692663146e-14,0,task_064_L10_V2_th10_bt12_dt0.1_s990205,120,inf,0
12,990206,0.045585103167843415,0.00029504107384288386,0.03544690181892987,0.00016150971271890795,0.2224016322083312,0.004212421807160695,0.8704,0.74572765,348.111678696,4.4074225191522976e-09,2.1428300436265558e-14,0,task_065_L10_V2_th10_bt12_dt0.1_s990206,120,inf,0
12,990207,0.04607949724233482,0.0007148920631461746,0.03564451110215042,0.0002167016197949101,0.22645616303724392,0.00802684206447933,0.8776,0.7457865,336.207896962,3.8644510771419745e-10,7.275666849541832e-15,0,task_066_L10_V2_th10_bt12_dt0.1_s990207,120,inf,0
12,990208,0.045324821609979346,0.0003748655724477203,0.035243582787817404,0.00013867212051412838,0.22242202978560244,0.007156558825572737,0.8704,0.74571745,223.919527611,4.62672142009684e-10,6.571718980456684e-14,0,task_067_L10_V2_th10_bt12_dt0.1_s990208,120,inf,0
12,990209,0.04518532644961594,0.00038616711609949995,0.03552597313108892,9.018855125228912e-05,0.2137719051183069,0.006779301916222139,0.8748,0.74578125,323.535373416,6.550502554522562e-10,3.583690419015166e-14,0,task_068_L10_V2_th10_bt12_dt0.1_s990209,120,inf,0
12,990210,0.04464201600614359,0.0005522435631082184,0.03518212642114499,0.0001266084761579966,0.21190551931383972,0.009480589940869586,0.878,0.7458198,325.427458804,1.1846511301832932e-09,1.9591560374811654e-14,0,task_069_L10_V2_th10_bt12_dt0.1_s990210,120,inf,0
12,990211,0.045226649371545816,0.0003441691463240894,0.03508951653721454,0.00018512297989990627,0.22414069968024253,0.005665188522222851,0.8648,0.7457769,334.113547873,3.235904238701985e-10,9.960522299429665e-15,0,task_070_L10_V2_th10_bt12_dt0.1_s990211,120,inf,0
12,990212,0.04544496583872532,0.00040689240230955465,0.035431056227912615,0.0001357704723153682,0.22035245105805512,0.005271283574973937,0.8792,0.7458616,326.599342517,1.0412401699302997e-10,6.474457672758604e-15,0,task_071_L10_V2_th10_bt12_dt0.1_s990212,120,inf,0
