comparison,L,V,theta,delta,mu,boundary,observable,left,right,difference
tiny_enum_vs_ed,4,2,0.1,1,0,1,R_cdw,0.1400754709889378,0.1400754709889378,0.0
tiny_enum_vs_ed,4,2,0.1,1,0.7,1,S_pi,0.07090364408671536,0.07090364408671522,1.3877787807814457e-16
tiny_enum_vs_ed,4,2,0.1,1,0.7,1,S_pi_dq,0.06119459261141364,0.06119459261141352,1.1796119636642288e-16
tiny_enum_vs_ed,4,2,0.1,1,0.7,1,R_cdw,0.13693303920215327,0.13693303920215327,0.0
tiny_enum_vs_ed,4,4,0.1,0.6,0,1,S_pi,0.08533435138278607,0.08533435138278606,1.3877787807814457e-17
tiny_enum_vs_ed,4,4,0.1,0.6,0,1,S_pi_dq,0.059938100204377225,0.05993810020437719,3.469446951953614e-17
tiny_enum_vs_ed,4,4,0.1,0.6,0,1,R_cdw,0.2976087679449083,0.29760876794490865,-3.3306690738754696e-16
tiny_enum_vs_ed,4,4,0.1,0.6,0.7,1,S_pi,0.08415139975505789,0.08415139975505777,1.249000902703301e-16
tiny_enum_vs_ed,4,4,0.1,0.6,0.7,1,S_pi_dq,0.05946006652723521,0.05946006652723511,1.0408340855860843e-16
tiny_enum_vs_ed,4,4,0.1,0.6,0.7,1,R_cdw,0.2934155973601451,0.29341559736014533,-2.220446049250313e-16
tiny_enum_vs_ed,4,4,0.1,1,0,1,S_pi,0.08263938923376113,0.08263938923376113,0.0
tiny_enum_vs_ed,4,4,0.1,1,0,1,S_pi_dq,0.06029393321185764,0.060293933211857595,4.163336342344337e-17
tiny_enum_vs_ed,4,4,0.1,1,0,1,R_cdw,0.27039715841431433,0.2703971584143149,-5.551115123125783e-16
tiny_enum_vs_ed,4,4,0.1,1,0.7,1,S_pi,0.08150076520567583,0.08150076520567573,9.71445146547012e-17
tiny_enum_vs_ed,4,4,0.1,1,0.7,1,S_pi_dq,0.05981231086964721,0.0598123108696471,1.1102230246251565e-16
tiny_enum_vs_ed,4,4,0.1,1,0.7,1,R_cdw,0.26611350557624214,0.2661135055762427,-5.551115123125783e-16
tiny_enum_vs_ed,4,2,0.2,0.6,0.7,0,S_pi,0.09203215026204495,0.0920321502620427,2.248201624865942e-15
tiny_enum_vs_ed,4,2,0.2,0.6,0.7,0,S_pi_dq,0.05733020231357274,0.05733020231357195,7.91033905045424e-16
tiny_enum_vs_ed,4,2,0.2,0.6,0.7,0,R_cdw,0.377063318086828,0.37706331808682136,6.661338147750939e-15
tiny_enum_vs_ed,4,2,0.2,1,0.7,0,S_pi,0.08441376399150635,0.08441376399150625,9.71445146547012e-17
tiny_enum_vs_ed,4,2,0.2,1,0.7,0,S_pi_dq,0.058521101876576366,0.05852110187657632,4.85722573273506e-17
tiny_enum_vs_ed,4,2,0.2,1,0.7,0,R_cdw,0.3067350736490708,0.3067350736490706,2.220446049250313e-16
tiny_enum_vs_ed,4,4,0.2,0.6,0.7,0,S_pi,0.1263963466003212,0.12639634660031845,2.7478019859472624e-15
tiny_enum_vs_ed,4,4,0.2,0.6,0.7,0,S_pi_dq,0.04740165169651003,0.04740165169650926,7.7021722333370235e-16
tiny_enum_vs_ed,4,4,0.2,0.6,0.7,0,R_cdw,0.624976093285361,0.624976093285359,1.9984014443252818e-15
tiny_enum_vs_ed,4,4,0.2,1,0.7,0,S_pi,0.11686371354593421,0.1168637135459328,1.4016565685892601e-15
tiny_enum_vs_ed,4,4,0.2,1,0.7,0,S_pi_dq,0.04975289266664894,0.049752892666648896,4.163336342344337e-17
tiny_enum_vs_ed,4,4,0.2,1,0.7,0,R_cdw,0.5742656881505552,0.5742656881505505,4.773959005888173e-15
tiny_enum_vs_ed,4,2,0.2,0.6,0.7,1,S_pi,0.08405221918387563,0.08405221918387513,4.996003610813204e-16
tiny_enum_vs_ed,4,2,0.2,0.6,0.7,1,S_pi_dq,0.05909525774652945,0.0590952577465291,3.469446951953614e-16
