campaign,L,V,theta,delta,mu,boundary,hs_scheme,stabilization_interval,guard,n,S_pi,S_pi_seed_sem,S_pi_dq,S_pi_dq_seed_sem,R_cdw,R_cdw_seed_sem,average_sign,average_sign_seed_sem,sign_corrections,diagnostic_sign_mismatch_count,max_sign_imag,max_fast_full_green_rel
gaussian_qmc,6,0,10,1,0,0,0,10,0,1,0.04166666666666665,nan,0.04166666666666666,nan,-2.220446049250313e-16,nan,1.0,nan,0.0,0.0,2.4892413682157484e-17,4.3988537647931016e-16
gaussian_qmc,6,0,10,1,0,1,0,10,0,1,0.04166666666666665,nan,0.04166666666666665,nan,0.0,nan,1.0,nan,0.0,0.0,3.594226939377463e-18,3.365182023483386e-16
gaussian_qmc,6,0,10,1,0.7,0,0,10,0,1,0.03934268335972904,nan,0.03987690047378266,nan,-0.013578563240565389,nan,1.0,nan,0.0,0.0,4.51021673029624e-14,2.448755151070495e-15
gaussian_qmc,6,0,10,1,0.7,1,0,10,0,1,0.03684291305251618,nan,0.038012255395852144,nan,-0.031738596284967446,nan,1.0,nan,0.0,0.0,1.306654255598717e-13,3.134544970502121e-15
gaussian_qmc,6,0,10,1.3,0,0,0,10,0,1,0.036930258099945094,nan,0.03905242997872501,nan,-0.05746431213766878,nan,1.0,nan,0.0,0.0,3.978238184671259e-15,1.7394976096737841e-15
gaussian_qmc,6,0,10,1.3,0,1,0,10,0,1,0.035261612097939876,nan,0.03851251268964094,nan,-0.09219375968040322,nan,1.0,nan,0.0,0.0,0.0,3.0663808946335826e-15
gaussian_qmc,6,0,10,1.3,0.7,0,0,10,0,1,0.03579127740704055,nan,0.037980786947304564,nan,-0.06117438937324193,nan,1.0,nan,0.0,0.0,5.797217856975145e-14,6.962463280960992e-15
gaussian_qmc,6,0,10,1.3,0.7,1,0,10,0,1,0.03018810135364679,nan,0.03471296967366237,nan,-0.1498891323772824,nan,1.0,nan,0.0,0.0,6.998098096084101e-14,4.008727717561908e-15
gaussian_qmc,80,0,10,0.5,0,0,0,10,0,1,0.004166666666667379,nan,0.004163056510369523,nan,0.0008664375114852962,nan,1.0,nan,0.0,0.0,5.6152887258031824e-14,1.0948465865147548e-14
gaussian_qmc,80,0,10,0.5,0,1,0,10,0,1,0.0041796875000006,nan,0.004176021170546661,nan,0.0008771778880449776,nan,1.0,nan,0.0,0.0,4.157103067305036e-15,1.0593242137941099e-14
gaussian_qmc,80,0,10,0.5,0.7,0,0,10,0,1,0.003804693897226466,nan,0.003802733946872043,nan,0.0005151400894173319,nan,1.0,nan,0.0,0.0,1.6691645797781686e-13,2.4044363860166388e-14
gaussian_qmc,80,0,10,0.5,0.7,1,0,10,0,1,0.0037981001941690675,nan,0.003796182089932419,nan,0.000505016755374954,nan,1.0,nan,0.0,0.0,1.899958283219907e-14,2.0626667947038157e-14
gaussian_qmc,80,0,10,1,0,0,0,10,0,1,0.0031250000000000015,nan,0.0031250000000000015,nan,0.0,nan,1.0,nan,0.0,0.0,5.2012266720839434e-15,3.831787330532255e-16
gaussian_qmc,80,0,10,1,0,1,0,10,0,1,0.0031250000000000006,nan,0.0031250000000000006,nan,0.0,nan,1.0,nan,0.0,0.0,2.003781812880155e-15,3.7619787278971895e-16
gaussian_qmc,80,0,10,1,0.7,0,0,10,0,1,0.0029332326773869465,nan,0.0029334960379481536,nan,-8.978509043533478e-05,nan,1.0,nan,0.0,0.0,4.3275806714136813e-13,1.641437092368444e-14
gaussian_qmc,80,0,10,1,0.7,1,0,10,0,1,0.0029206417672375594,nan,0.0029209240715465518,nan,-9.665831399074953e-05,nan,1.0,nan,0.0,0.0,1.1761267146467656e-13,1.6079088949959987e-14
gaussian_qmc,80,0,10,1.3,0,0,0,10,0,1,0.0027173913043478364,nan,0.0027186694694670954,nan,-0.00047036476388728765,nan,1.0,nan,0.0,0.0,3.6652900422119e-14,8.545918084546747e-15
gaussian_qmc,80,0,10,1.3,0,1,0,10,0,1,0.0027122961956522074,nan,0.0027135908870216242,nan,-0.0004773414391436859,nan,1.0,nan,0.0,0.0,1.7238342869578838e-15,9.758467260303035e-15
gaussian_qmc,80,0,10,1.3,0.7,0,0,10,0,1,0.0025685733641171863,nan,0.002569987364151461,nan,-0.0005505001546881605,nan,1.0,nan,0.0,0.0,3.407000821540972e-13,1.9247205323013273e-14
gaussian_qmc,80,0,10,1.3,0.7,1,0,10,0,1,0.0025524584903290765,nan,0.002553903772336897,nan,-0.000566231346482704,nan,1.0,nan,0.0,0.0,1.4245696538171605e-13,1.907837212103828e-14
hs_crosscheck,10,2,10,1,0,0,0,10,0,6,0.046785899056208745,0.000718524919905295,0.03531504438457447,0.00011570511755463308,0.24426678264207222,0.012053120590075947,0.873888888888889,0.002750981867364433,0.0,0.0,4.368192663772145e-09,0.0
hs_crosscheck,10,2,10,1,0,0,1,10,0,6,0.04530702289882066,0.00019751781168634273,0.03536356070858285,0.00016623625707675718,0.21936158192237012,0.005958418161210996,1.0,0.0,0.0,0.0,1.4120878770686237e-11,0.0
hs_crosscheck,10,2,10,1,0,1,0,10,0,6,0.04558431630839946,0.0001197356875231931,0.03638810748707243,9.236223219937206e-05,0.201713736517754,0.0028851671157318235,0.867,0.004952365689842162,0.0,0.0,3.3587758363364174e-09,0.0
